Agin-Buryat Okrug
Akshinsky District
Alexandrovo-Zavodsky District
Baleysky District
Borzinsky District
Chernyshevsky District
Chita
Chitinsky District
Gazimuro-Zavodsky District
Gorny
Kalarsky District
Kalgansky District
Karymsky District
Khiloksky District
Krasnochikoysky District
Krasnokamensky District
Kyrinsky District
Mogochinsky District
Nerchinsko-Zavodsky District
Nerchinsky District
Olovyanninsky District
Ononsky District
Petrovsk-Zabaykalsky
Petrovsk-Zabaykalsky District
Priargunsky District
Shelopuginsky District
Shilkinsky District
Sretensky District
Tungiro-Olyokminsky District
Tungokochensky District
Ulyotovsky District
Zabaykalsky District
