Flushing Meadow-Corona Park
Forest Park
Gateway National Recreation Area
John F. Kennedy Airport
LaGuardia Airport
Queens Community District 1
Queens Community District 10
Queens Community District 11
Queens Community District 12
Queens Community District 13
Queens Community District 14
Queens Community District 2
Queens Community District 3
Queens Community District 4
Queens Community District 5
Queens Community District 6
Queens Community District 7
Queens Community District 8
Queens Community District 9
